acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,valence,year
0.701,0.587,144467,0.403,0,1.62E-05,0,0.256,-7.141,1,42,0.0268,108.642,0.613,2000
0.0256,0.723,261000,0.733,0,0.261,10,0.336,-6.638,0,40,0.0282,104.004,0.711,2000
0.932,0.592,185160,0.0965,0,0.000557,9,0.107,-16.739,0,47,0.031,100.421,0.268,2000
0.798,0.679,319800,0.788,0,0.802,5,0.136,-7.156,1,42,0.0298,109.532,0.729,2000
0.0284,0.668,217493,0.647,0,0.000349,6,0.134,-4.946,1,43,0.0813,121.624,0.747,2000
0.0177,0.826,241400,0.655,1,0,0,0.0826,-6.28,1,43,0.289,166.036,0.767,2001
0.0291,0.573,282827,0.851,1,0,6,0.0937,-4.829,0,44,0.336,185.778,0.715,2001
0.0473,0.604,222800,0.66,0,0.00397,7,0.375,-8.368,1,46,0.0366,185.028,0.764,2001
0.0877,0.432,280947,0.563,0,0.000355,2,0.294,-8.807,1,58,0.0309,136.172,0.397,2001
0.178,0.372,326533,0.375,0,0,1,0.0742,-9.453,0,44,0.0507,109.45,0.204,2001
0.363,0.688,137480,0.899,0,9.09E-06,5,0.103,-5.285,1,40,0.0383,119.46,0.965,2001
0.105,0.75,389867,0.889,1,3.71E-06,10,0.368,-5.387,0,43,0.274,100.244,0.69,2001
0.327,0.427,231373,0.569,0,0.0162,2,0.11,-10.088,0,45,0.0285,186.608,0.774,2001
0.00681,0.731,391000,0.427,0,0.00567,5,0.161,-10.466,0,52,0.0589,82.208,0.507,2001
0.0101,0.463,157053,0.853,0,0,11,0.107,-6.24,0,41,0.0707,169.574,0.69,2001
0.00774,0.664,290733,0.533,1,0,0,0.21,-5.958,1,41,0.0774,79.975,0.376,2001
0.0157,0.591,216360,0.617,0,4.35E-05,0,0.146,-7.495,1,45,0.0259,109.956,0.48,2001
0.0838,0.866,221093,0.534,0,0,5,0.0848,-10.407,1,43,0.321,98.852,0.619,2001
0.538,0.585,201533,0.702,0,0,0,0.216,-5.734,1,61,0.0325,139.909,0.51,2001
0.00197,0.507,119067,0.988,0,0.00297,2,0.272,-2.603,1,47,0.069,158.25,0.927,2001
0.958,0.181,195120,0.27,0,0.0203,9,0.352,-13.616,1,44,0.0353,92.843,0.114,2001
0.328,0.236,161173,0.971,0,0.00119,6,0.914,-12.596,1,46,0.104,109.04,0.0227,2001
0.805,0.513,224933,0.352,0,0,2,0.0802,-15.829,1,44,0.15,124.834,0.608,2001
0.127,0.625,272947,0.716,0,0.478,8,0.0842,-11.376,0,41,0.0592,95.739,0.838,2001
0.83,0.12,198560,0.074,0,0.00042,1,0.244,-13.732,0,42,0.0382,86.373,0.0762,2001
